"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1121611859612897281","","","2019-04-26 03:08:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jesus teve 12 apóstolos.","","","",""
"1121611434671181824","","","2019-04-26 03:06:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","https://t.co/H4Cgygr77K","","","","https://www.youtube.com/watch?v=l0k46-M6A6U"
"1121609336327897093","","","2019-04-26 02:57:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mitra é o Deus do Sol, da Sabedoria e da Guerra. Representa o Bem e a libertação da matéria.","","","",""
"1121608979807899648","","","2019-04-26 02:56:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chame as coisas por seus nomes. Jeová é deus. Júpiter é deus. Marte é deus. Em 25 de dezembro comemora-se o nascimento do Sol Invencível.","","","",""
"1121607875669970944","","","2019-04-26 02:52:10 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Porque Jeová sabe que no dia em que dele comerdes se abrirão os vossos olhos, e sereis como Jeová, sabendo o bem e o mal.

Gênesis 3:5","","","",""
"1121607538565423105","","","2019-04-26 02:50:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","— Olhe! Criei o mundo material!
— Sim. Criou.
— Agora vou criar o Homem. Ele será a Sua imagem e semelhança.
— Sim. Será.
— Criei o Homem e uma parceira. Eles me adoram como deus.
— Não. Eles não conseguem distinguir o que você é. Mas logo conseguirão!","","","",""
"1121606257704689664","","","2019-04-26 02:45:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Não apenas a matéria, mas o Tempo. Deus tudo sabe e controla. A Verdade é fogo. No inferno só há fogo. Seus filhos pagarão!","","","",""
"1121578483325591553","","","2019-04-26 00:55:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hehehehahahah! Pega lavrado!","","","",""
"1121577499618627584","","","2019-04-26 00:51:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Satisfação https://t.co/5JFV9zbDAW","","","","https://youtu.be/njs9mTU0jp8?t=2709"
"1121560567506976768","","","2019-04-25 23:44:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[ [ [ P R O P A G A N D A ] ] ]","","","",""
"1121311328830918657","","","2019-04-25 07:13:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","No princípio era o Verbo, e o Verbo estava com Deus, e o Verbo era Deus. - João 1:1","","","",""
"1121181052406362112","","","2019-04-24 22:36:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Um avião caiu https://t.co/j533Ua1g0y","","","","https://www.youtube.com/watch?v=ApR0pOl1V8M"
"1121177228790968320","","","2019-04-24 22:20:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Começa engraçado
https://t.co/CURbgrEcsr","","","","https://www.youtube.com/watch?v=LhWtF6B0FXM"
"1121174947483848704","","","2019-04-24 22:11:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Loucura, insensatez
Estado inevitável
Embalagem de iogurte inviolável
Fome, miséria, incompreensão,
O Brasil é Treta Campeão https://t.co/ePLqVx4weV","","","","https://twitter.com/SargentoFAHUR/status/1120737536819777536"
"1121154762781577216","","","2019-04-24 20:51:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tem festa no inferno! https://t.co/WnwYT3FVzV","","","","https://twitter.com/CarlosBolsonaro/status/1121142716996440066"
"1121149216963866624","","","2019-04-24 20:29:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @levyfidelix: JÁ DIZIA LEVY FIDELIX (02): ""OS MEIOS DE COMUNICAÇÃO ESTÃO DESTRUINDO AS NOSSAS FAMÍLIAS COM EXEMPLOS QUE COLOCAM AS TRADI…","1118226993634521088","37930894","2019-04-16 18:57:45 +0000","https://twitter.com/levyfidelix/status/1118226993634521088/photo/1"
"1120505983237787650","","","2019-04-23 01:53:39 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1688","","","",""
"1120505848109981700","","","2019-04-23 01:53:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jovis é o rei dos deuses","","","",""
"1120501716087078913","","","2019-04-23 01:36:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Quando se tornaram adultos, os irmãos nunca mais brigaram. Tantas brigas fortificaram o reconhecimento e o amor por cada um. Uma novo briga poderia levar um deles a morte, ou ambos. Irmãos se ajudam.","","","",""
"1120496540437577729","","","2019-04-23 01:16:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Se você abrir a caixa e o gato estiver morto, mate o cientista!","","","",""
"1120496035019800576","","","2019-04-23 01:14:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Esse twitte foi criado para Inteligência Artificial.","","","",""
"1120495602217955329","","","2019-04-23 01:12:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Aprender a Programar em C ou comprovar a Teoria da Relatividade? Você já viu gnomos?","","","",""
"1120494261357678593","","","2019-04-23 01:07:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Arthur Schopenhauer foi imperador. Napoleão viajou pela Europa.","","","",""
"1120493828539076608","","","2019-04-23 01:05:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Arthur Schopenhauer viajou pela Europa. Napoleão foi imperador.","","","",""
"1120492671032864774","","","2019-04-23 01:00:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Alguns idiomas parecem códigos secretos. Deve haver uma razão para isso.","","","",""
